,gpa,경제우선,안정추구,과학분야_전문직,과학분야_숙련직,I유형.탐구형,이학공학연구,순위생물,순위화학,화학질문,화학발표,화학논리적,화학콘텐츠,화학학생활동,생물질문,생물발표,생물논리적,생물콘텐츠,생물학생활동
count,88,86,86,88,88,88,88,46,62,88,87,88,87,88,88,87,88,88,88
mean,3.726136364,2.795348837,3.600775194,82.54545455,76.60227273,56.27409091,82.50340909,2.369565217,2.14516129,4.659090909,4.298850575,5.693181818,4.91954023,4.511363636,4.954545455,4.75862069,5.829545455,5.625,4.852272727
std,0.341970059,0.779729512,0.70259978,17.23596153,24.36953995,6.195149871,21.47022236,1.271197085,0.865490938,1.469117834,1.600253923,1.26270968,1.564269581,1.44631373,1.538091749,1.663321958,1.126703981,1.375587649,1.557626936
min,2.66,1,2,15,10,38.81,7.1,1,1,1,1,2,1,1,1,1,3,1,1
25%,3.535,2.25,3.083333333,78,70,52.59,74.3,1,1.25,4,3,5,4,4,4,4,5,5,4
50%,3.775,2.8,3.666666667,89,84,56.76,92.8,2,2,5,4,6,5,4,5,5,6,6,5
75%,3.97,3.4,4,95,96,61.175,96.875,3,3,6,5,7,6,6,6,6,7,7,6
max,4.3,5,5,100,99,71.33,100,6,5,7,7,7,7,7,7,7,7,7,7
